PARSE TREE:
Lexeme: declare, Line no: 1, Tk_name: DECLARE, ValueIfNumber: ----, Parent: moduleDeclaration, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: moduleDeclarations, IsLeaf: NO, NodeSymbol: moduleDeclaration
Lexeme: module, Line no: 1, Tk_name: MODULE, ValueIfNumber: ----, Parent: moduleDeclaration, YES, NodeSymbol: ----
Lexeme: readArr, Line no: 1, Tk_name: ID, ValueIfNumber: ----, Parent: moduleDeclaration, YES, NodeSymbol: ----
Lexeme: ;, Line no: 1, Tk_name: SEMICOL, ValueIfNumber: ----, Parent: moduleDeclaration, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: program, IsLeaf: NO, NodeSymbol: moduleDeclarations
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: moduleDeclarations, IsLeaf: NO, NodeSymbol: moduleDeclarations
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: startprogram, IsLeaf: NO, NodeSymbol: program
Lexeme: <<, Line no: 3, Tk_name: DEF, ValueIfNumber: ----, Parent: module, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: otherModules, IsLeaf: NO, NodeSymbol: module
Lexeme: module, Line no: 3, Tk_name: MODULE, ValueIfNumber: ----, Parent: module, YES, NodeSymbol: ----
Lexeme: arraySum, Line no: 3, Tk_name: ID, ValueIfNumber: ----, Parent: module, YES, NodeSymbol: ----
Lexeme: >>, Line no: 3, Tk_name: ENDDEF, ValueIfNumber: ----, Parent: module, YES, NodeSymbol: ----
Lexeme: takes, Line no: 4, Tk_name: TAKES, ValueIfNumber: ----, Parent: module, YES, NodeSymbol: ----
Lexeme: input, Line no: 4, Tk_name: INPUT, ValueIfNumber: ----, Parent: module, YES, NodeSymbol: ----
Lexeme: [, Line no: 4, Tk_name: SQBO, ValueIfNumber: ----, Parent: module, YES, NodeSymbol: ----
Lexeme: list, Line no: 4, Tk_name: ID, ValueIfNumber: ----, Parent: input_plist, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: module, IsLeaf: NO, NodeSymbol: input_plist
Lexeme: :, Line no: 4, Tk_name: COLON, ValueIfNumber: ----, Parent: input_plist, YES, NodeSymbol: ----
Lexeme: array, Line no: 4, Tk_name: ARRAY, ValueIfNumber: ----, Parent: dataType, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: input_plist, IsLeaf: NO, NodeSymbol: dataType
Lexeme: [, Line no: 4, Tk_name: SQBO, ValueIfNumber: ----, Parent: dataType, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: range, IsLeaf: NO, NodeSymbol: sign
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: dataType, IsLeaf: NO, NodeSymbol: range
Lexeme: ----, Line no: 4, Tk name: NUM, ValueIfNumber: 1, Parent: index, isLeaf: YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: range, IsLeaf: NO, NodeSymbol: index
Lexeme: .., Line no: 4, Tk_name: RANGEOP, ValueIfNumber: ----, Parent: range, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: range, IsLeaf: NO, NodeSymbol: sign
Lexeme: ----, Line no: 4, Tk name: NUM, ValueIfNumber: 15, Parent: index, isLeaf: YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: range, IsLeaf: NO, NodeSymbol: index
Lexeme: ], Line no: 4, Tk_name: SQBC, ValueIfNumber: ----, Parent: dataType, YES, NodeSymbol: ----
Lexeme: of, Line no: 4, Tk_name: OF, ValueIfNumber: ----, Parent: dataType, YES, NodeSymbol: ----
Lexeme: real, Line no: 4, Tk_name: REAL, ValueIfNumber: ----, Parent: type, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: dataType, IsLeaf: NO, NodeSymbol: type
